THOR_DATA_VIET_ID,MSNDATE,SOURCERECORD,MISSIONID,latitude,longitude,record_x,record_y,n_weapons,WEAPONTYPE,WEAPONTYPECLASS,weapon_weight_lb,weapon_weight_lb_used,weight_is_imputed,recorded_tonnage_t,known_tonnage_t,MFUNC_DESC,TGTCOUNTRY,MFUNC_DESC_CLASS,mission_key
47,1972-05-26,SEADAB,6787,16.809722,107.050555,21357.872452657244,9976.631208403305,3,,,0,500,True,0.680388555,0.0,ARMED RECCE,SOUTH VIETNAM,KINETIC,SEADAB|1972-05-26|6787
436,1971-11-10,SEADAB,B104,16.772776999999998,106.959166,11625.506739631133,5868.534643519761,8,,,0,500,True,1.81436948,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-11-10|B104
962,1971-09-10,SEADAB,B119,16.836111,106.855833,621.1785795245823,12910.954127626368,8,,,0,500,True,1.81436948,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-09-10|B119
1241,1971-08-03,SEADAB,B111,16.86,106.896388,4940.036335837954,15567.289730238284,4,MK81 GP BOMB (250),,250,250,False,0.45359237,0.45359237,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-08-03|B111
1565,1971-06-21,SEADAB,5426,16.788888,106.883333,3549.7592304573373,7659.996106690492,12,,,0,500,True,2.72155422,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-06-21|5426
3758,1970-05-25,SEADAB,B088,16.851111,106.898055,5117.561570205224,14578.878027294812,3,LAU3/MA RKT LCHR (19),,342,342,False,0.46538577162,0.46538577162,CLOSE AIR SUPPORT,,KINETIC,SEADAB|1970-05-25|B088
3945,1972-07-03,SEADAB,6021,16.799722,106.9875,14642.90325466983,8864.681941957544,12,,,0,500,True,2.72155422,0.0,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1972-07-03|6021
4118,1970-05-07,SEADAB,B876,16.821111,106.91,6389.630511128762,11243.030227957925,8,,,0,500,True,1.81436948,0.0,CLOSE AIR SUPPORT,,KINETIC,SEADAB|1970-05-07|B876
4325,1972-04-03,SEADAB,B142,16.815,106.999166,15885.260413717482,10563.518031233349,4,,,0,500,True,0.90718474,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1972-04-03|B142
4382,1972-06-20,SEADAB,6820,16.770833,106.87,2129.87683704393,5652.371706122943,8,CBU24 AN PR/MT (BLU26),,1388,1388,False,5.03668967648,5.03668967648,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1972-06-20|6820
4517,1972-11-19,SEADAB,6910,16.725555,106.988611,14761.217912968488,617.6878175106447,4,M36E2 HIGH SPD M36,,536,536,False,0.9725020412800001,0.9725020412800001,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1972-11-19|6910
4729,1971-08-31,SEADAB,B159,16.832222,106.879166,3105.9993914599545,12478.517057905972,8,MK 82 GP BOMB (500) LD,,500,500,False,1.81436948,1.81436948,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-08-31|B159
4762,1972-07-11,SEADAB,6033,16.802777,107.020555,18163.05719709286,9204.38244285665,8,,,0,500,True,1.81436948,0.0,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1972-07-11|6033
5126,1972-11-29,SEADAB,6834,16.8025,106.981944,14051.223469339482,9173.581448176048,8,CBU49 AN PR MINE,,840,840,False,3.0481407264,3.0481407264,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1972-11-29|6834
5571,1971-06-24,SEADAB,B119,16.835,106.88388799999998,3608.8633126843633,12787.416564124476,13,,,0,500,True,2.9483504050000002,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-06-24|B119
6020,1972-04-10,SEADAB,6657,16.849444000000002,106.971388,12927.074474748906,14393.516084578594,4,,,0,500,True,0.90718474,0.0,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1972-04-10|6657
6895,1972-10-28,SEADAB,6788,16.86,106.999444,15914.865701751785,15567.289730238284,11,CBU58 AN PR BOMB,,800,800,False,3.991612856,3.991612856,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1972-10-28|6788
6910,1972-10-19,SEADAB,6787,16.838333,107.002222,16210.705594417714,13158.029254630546,1,,,0,500,True,0.226796185,0.0,ARMED RECCE,SOUTH VIETNAM,KINETIC,SEADAB|1972-10-19|6787
7048,1971-08-18,SEADAB,B114,16.796111,106.874166,2573.530182199729,8463.157061844113,8,MK 82 GP BOMB (500) LD,,500,500,False,1.81436948,1.81436948,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1971-08-18|B114
7138,1970-06-25,SEADAB,6405,16.858888,106.916944,7129.123748950493,15443.640971809635,12,MK 82 GP BOMB (500) LD,,500,500,False,2.72155422,2.72155422,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1970-06-25|6405
8224,1973-01-17,SEADAB,9007,16.811111,106.998888,15855.655125681662,10131.080961512558,12,,,0,500,True,2.72155422,0.0,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1973-01-17|9007
8435,1972-08-09,SEADAB,6758,16.797222,106.961388,11862.136056226944,8586.6946253464,12,,,0,500,True,2.72155422,0.0,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1972-08-09|6758
8546,1972-10-01,SEADAB,6939,16.742777,106.965555,12305.895895224325,2532.6868441832676,12,,,0,500,True,2.72155422,0.0,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1972-10-01|6939
9294,1972-04-22,SEADAB,B109,16.799444,106.998888,15855.655125681662,8833.769752350578,8,,,0,500,True,1.81436948,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1972-04-22|B109
9346,1972-11-09,SEADAB,6730,16.778055,106.865555,1656.5117100107295,6455.421466349805,24,,,0,500,True,5.44310844,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1972-11-09|6730
9464,1972-04-15,SEADAB,9070,16.775833,106.918055,7247.43840724764,6208.346339345626,4,,,0,500,True,0.90718474,0.0,STRIKE,SOUTH VIETNAM,KINETIC,SEADAB|1972-04-15|9070
10251,1972-11-21,SEADAB,6762,16.832777,107.009444,16979.804120273748,12540.230242193536,24,,,0,500,True,5.44310844,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1972-11-21|6762
10704,1972-11-07,SEADAB,6788,16.776944,106.996666,15619.025809087369,6331.883902847912,12,,,0,500,True,2.72155422,0.0,ARMED RECCE,SOUTH VIETNAM,KINETIC,SEADAB|1972-11-07|6788
10852,1972-09-25,SEADAB,6787,16.82,107.017777,17867.217304426933,11119.492664456031,3,,,0,500,True,0.680388555,0.0,ARMED RECCE,SOUTH VIETNAM,KINETIC,SEADAB|1972-09-25|6787
11001,1972-09-24,SEADAB,6942,16.815,106.999166,15885.260413717482,10563.518031233349,12,,,0,500,True,2.72155422,0.0,AIR INTERDICTION,SOUTH VIETNAM,KINETIC,SEADAB|1972-09-24|6942
11441,1971-08-15,SEADAB,5869,16.73,106.890277,4289.252468279067,1111.9492664457612,5,20 MM AMMO (HNDRDS),,50,50,False,0.1133980925,0.1133980925,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-08-15|5869
11810,1971-06-20,SEADAB,7913,16.815832999999998,106.893888,4673.801731207841,10656.14340512788,33,,,0,500,True,7.484274105000001,0.0,CLOSE AIR SUPPORT,LAOS,KINETIC,SEADAB|1971-06-20|7913
11951,1971-08-15,SEADAB,5813,16.734722,106.881111,3313.129913863042,1637.0117100614789,24,MK 82 GP BOMB (500) LD,,500,500,False,5.44310844,5.44310844,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-08-15|5813
11963,1971-09-08,SEADAB,B103,16.841110999999998,106.884722,3697.6791767903023,13466.92876084905,8,,,0,500,True,1.81436948,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-09-08|B103
12075,1972-07-13,SEADAB,6781,16.771110999999998,106.93388799999998,8933.55540529116,5683.283895729907,3,,,0,500,True,0.680388555,0.0,STRIKE,SOUTH VIETNAM,KINETIC,SEADAB|1972-07-13|6781
12422,1972-04-07,SEADAB,8526,16.874722,106.880555,3253.91933779292,17204.301440299372,46,,,0,500,True,10.43262451,0.0,STRIKE,SOUTH VIETNAM,KINETIC,SEADAB|1972-04-07|8526
13243,1970-04-09,SEADAB,B601,16.745555,106.864166,1508.591763677764,2841.586350401772,8,,,0,500,True,1.81436948,0.0,CLOSE AIR SUPPORT,,KINETIC,SEADAB|1970-04-09|B601
13705,1971-08-21,SEADAB,B111,16.856944,106.94888799999998,10530.96303307335,15227.478034412421,8,MK 82 GP BOMB (500) LD,,500,500,False,1.81436948,1.81436948,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-08-21|B111
14460,1971-08-24,SEADAB,B102,16.853888,106.887777,4023.017863648954,14887.666338586952,8,MK 82 GP BOMB (500) LD,,500,500,False,1.81436948,1.81436948,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1971-08-24|B102
15035,1972-03-30,SEADAB,A040,16.806388000000002,106.933333,8874.45132306565,9605.907322970475,25,,,0,500,True,5.669904625,0.0,CLOSE AIR SUPPORT,SOUTH VIETNAM,KINETIC,SEADAB|1972-03-30|A040
