mission_key,source_record,mission_date,mission_id_raw,record_lon,record_lat,record_x,record_y,record_n_bombs,recorded_tonnage_t,known_tonnage_t,imputed_weapon_count,imputed_weapon_fraction,n_raw_rows,record_mission_id
SEADAB|1972-05-26|6787,SEADAB,1972-05-26,6787,107.05055499999999,16.809722,21357.872452657244,9976.631208403305,5,1.16663957564,0.48625102064000003,3,0.6,2,10511
SEADAB|1971-11-10|B104,SEADAB,1971-11-10,B104,106.959166,16.772776999999998,11625.506739631133,5868.534643519761,12,2.2679618500000003,0.45359237,8,0.6666666666666666,2,9970
SEADAB|1971-09-10|B119,SEADAB,1971-09-10,B119,106.855833,16.836111,621.1785795245823,12910.954127626368,12,2.2679618500000003,0.45359237,8,0.6666666666666666,2,9941
SEADAB|1971-08-03|B111,SEADAB,1971-08-03,B111,106.896388,16.86,4940.036335837954,15567.289730238284,12,2.2679618500000003,2.2679618500000003,0,0.0,2,9709
SEADAB|1971-06-21|5426,SEADAB,1971-06-21,5426,106.883333,16.788888,3549.7592304573373,7659.996106690492,32,7.2574779199999995,0.0,32,1.0,3,9368
SEADAB|1970-05-25|B088,SEADAB,1970-05-25,B088,106.89805499999999,16.851111,5117.561570205224,14578.87802729481,11,2.27975525162,0.46538577162,8,0.7272727272727273,2,8937
SEADAB|1972-07-03|6021,SEADAB,1972-07-03,6021,106.9875,16.799722,14642.90325466983,8864.681941957544,12,2.72155422,0.0,12,1.0,1,10748
SEADAB|1970-05-07|B876,SEADAB,1970-05-07,B876,106.91,16.821111,6389.630511128762,11243.030227957925,10,2.12462666108,0.31025718108,8,0.8,2,8912
SEADAB|1972-04-03|B142,SEADAB,1972-04-03,B142,106.999166,16.815,15885.260413717484,10563.518031233349,12,2.43488384216,0.62051436216,8,0.6666666666666666,3,10052
SEADAB|1972-06-20|6820,SEADAB,1972-06-20,6820,106.87,16.770833,2129.87683704393,5652.371706122943,20,7.75824389648,5.03668967648,12,0.6,2,10617
SEADAB|1972-11-19|6910,SEADAB,1972-11-19,6910,106.988611,16.725555,14761.217912968486,617.6878175106445,19,4.3744448162800005,0.9725020412800001,15,0.7894736842105263,3,11676
SEADAB|1971-08-31|B159,SEADAB,1971-08-31,B159,106.879166,16.832222,3105.9993914599545,12478.517057905972,12,2.2679618500000003,2.2679618500000003,0,0.0,2,9890
SEADAB|1972-07-11|6033,SEADAB,1972-07-11,6033,107.020555,16.802777,18163.05719709286,9204.38244285665,8,1.81436948,0.0,8,1.0,1,10823
SEADAB|1972-11-29|6834,SEADAB,1972-11-29,6834,106.981944,16.8025,14051.22346933948,9173.581448176048,12,3.9553254663999997,3.0481407264,4,0.3333333333333333,2,11718
SEADAB|1971-06-24|B119,SEADAB,1971-06-24,B119,106.883888,16.835,3608.8633126843633,12787.416564124476,21,4.762719885,0.0,21,1.0,2,9458
SEADAB|1972-04-10|6657,SEADAB,1972-04-10,6657,106.97138800000002,16.849444000000002,12927.074474748906,14393.516084578596,28,6.3502931799999995,0.0,28,1.0,2,10191
SEADAB|1972-10-28|6788,SEADAB,1972-10-28,6788,106.99944400000001,16.86,15914.865701751785,15567.289730238284,13,4.445205226000001,3.991612856,2,0.15384615384615385,2,11497
SEADAB|1972-10-19|6787,SEADAB,1972-10-19,6787,106.97838327272729,16.811514636363636,13672.027942279568,10175.963277358025,11,2.4947580350000003,0.0,11,1.0,3,11451
SEADAB|1971-08-18|B114,SEADAB,1971-08-18,B114,106.874166,16.796111,2573.530182199729,8463.157061844113,12,2.2679618500000003,2.2679618500000003,0,0.0,2,9799
SEADAB|1970-06-25|6405,SEADAB,1970-06-25,6405,106.916944,16.858888,7129.123748950493,15443.640971809635,12,2.72155422,2.72155422,0,0.0,1,9001
SEADAB|1973-01-17|9007,SEADAB,1973-01-17,9007,106.99888800000001,16.811111,15855.655125681662,10131.080961512558,12,2.72155422,0.0,12,1.0,1,11823
SEADAB|1972-08-09|6758,SEADAB,1972-08-09,6758,106.961388,16.797222,11862.136056226946,8586.694625346401,18,4.08233133,0.0,18,1.0,2,11009
SEADAB|1972-10-01|6939,SEADAB,1972-10-01,6939,106.965555,16.742777,12305.895895224325,2532.6868441832676,30,6.8038855499999995,4.08233133,12,0.4,2,11376
SEADAB|1972-04-22|B109,SEADAB,1972-04-22,B109,106.99888800000001,16.799444,15855.655125681662,8833.769752350578,12,2.2679618500000003,0.45359237,8,0.6666666666666666,2,10320
SEADAB|1972-11-09|6730,SEADAB,1972-11-09,6730,106.86555500000001,16.778055,1656.5117100107298,6455.421466349805,24,5.44310844,0.0,24,1.0,1,11610
SEADAB|1972-04-15|9070,SEADAB,1972-04-15,9070,106.918055,16.775833,7247.43840724764,6208.346339345626,8,1.81436948,0.0,8,1.0,2,10265
SEADAB|1972-11-21|6762,SEADAB,1972-11-21,6762,107.00944399999999,16.832777,16979.804120273748,12540.230242193536,24,5.44310844,0.0,24,1.0,1,11696
SEADAB|1972-11-07|6788,SEADAB,1972-11-07,6788,106.96901177777778,16.75669688888889,12674.021441209781,4080.5078680836195,27,6.123496995,0.0,27,1.0,3,11575
SEADAB|1972-09-25|6787,SEADAB,1972-09-25,6787,107.01777699999998,16.82,17867.217304426933,11119.492664456031,3,0.680388555,0.0,3,1.0,1,11341
SEADAB|1972-09-24|6942,SEADAB,1972-09-24,6942,106.999166,16.815,15885.260413717482,10563.518031233349,30,6.8038855499999995,4.08233133,12,0.4,2,11332
SEADAB|1971-08-15|5869,SEADAB,1971-08-15,5869,106.89027699999998,16.73,4289.252468279067,1111.9492664457612,25,5.5565065325,5.5565065325,0,0.0,3,9762
SEADAB|1971-06-20|7913,SEADAB,1971-06-20,7913,106.893888,16.815832999999998,4673.801731207841,10656.14340512788,124,28.12272694,0.0,124,1.0,2,9360
SEADAB|1971-08-15|5813,SEADAB,1971-08-15,5813,106.88111099999999,16.734722,3313.129913863042,1637.0117100614789,24,5.44310844,5.44310844,0,0.0,1,9755
SEADAB|1971-09-08|B103,SEADAB,1971-09-08,B103,106.884722,16.841110999999998,3697.679176790303,13466.92876084905,12,2.2679618500000003,0.45359237,8,0.6666666666666666,2,9932
SEADAB|1972-07-13|6781,SEADAB,1972-07-13,6781,106.93388799999998,16.771110999999998,8933.555405291158,5683.283895729907,5,1.36077711,0.680388555,3,0.6,2,10842
SEADAB|1972-04-07|8526,SEADAB,1972-04-07,8526,106.880555,16.874722,3253.91933779292,17204.301440299372,50,11.33980925,0.0,50,1.0,2,10143
SEADAB|1970-04-09|B601,SEADAB,1970-04-09,B601,106.864166,16.745555,1508.591763677764,2841.586350401772,12,2.2679618500000003,0.45359237,8,0.6666666666666666,2,8864
SEADAB|1971-08-21|B111,SEADAB,1971-08-21,B111,106.94888799999997,16.856944,10530.96303307335,15227.478034412421,12,2.2679618500000003,2.2679618500000003,0,0.0,2,9819
SEADAB|1971-08-24|B102,SEADAB,1971-08-24,B102,106.88777699999999,16.853888,4023.017863648954,14887.666338586952,12,2.2679618500000003,2.2679618500000003,0,0.0,2,9837
SEADAB|1972-03-30|A040,SEADAB,1972-03-30,A040,106.933333,16.806388000000002,8874.45132306565,9605.907322970475,25,5.669904625,0.0,25,1.0,1,10003
SEADAB|1972-09-03|6607,SEADAB,1972-09-03,6607,106.999166,16.838333,15885.260413717484,13158.029254630548,24,5.44310844,0.0,24,1.0,2,11177
SEADAB|1970-04-18|4831,SEADAB,1970-04-18,4831,106.904444,16.723611,5797.950725798415,401.524880113431,8,2.26796185,1.36077711,4,0.5,2,8891
SEADAB|1972-04-15|9072,SEADAB,1972-04-15,9072,106.918055,16.775833,7247.43840724764,6208.346339345626,4,0.90718474,0.0,4,1.0,1,10266
SEADAB|1972-11-09|6734,SEADAB,1972-11-09,6734,107.01305499999998,16.804722000000005,17364.353383201007,9420.656575180623,20,6.3502931799999995,3.62873896,12,0.6,2,11611
SEADAB|1972-08-04|8925,SEADAB,1972-08-04,8925,106.98888800000002,16.7525,14790.716707161211,3613.8351159484278,24,5.44310844,0.0,24,1.0,1,10985
SEADAB|1972-10-18|9226,SEADAB,1972-10-18,9226,106.9775,16.821388,13577.96483614938,11273.831222638526,12,2.72155422,0.0,12,1.0,1,11446
SEADAB|1971-07-01|B114,SEADAB,1971-07-01,B114,106.915,16.856388,6922.099720390502,15165.653655198097,12,2.2679618500000003,2.2679618500000003,0,0.0,2,9606
SEADAB|1972-08-08|8933,SEADAB,1972-08-08,8933,107.052777,16.834166,21594.50176925305,12694.67999530279,17,3.855535145,0.0,17,1.0,1,11003
SEADAB|1971-06-23|B160,SEADAB,1971-06-23,B160,106.893055,16.814166,4585.092360944997,10470.781462411664,12,2.2679618500000003,0.45359237,8,0.6666666666666666,2,9426
SEADAB|1972-06-13|6799,SEADAB,1972-06-13,6799,106.86166599999999,16.783610999999997,1242.3571590476517,7073.220478786813,20,5.7696949464,3.0481407264,12,0.6,2,10597
SEADAB|1972-06-23|6971,SEADAB,1972-06-23,6971,106.989444,16.796944000000003,14849.927283231335,8555.78243573904,18,4.08233133,2.72155422,6,0.3333333333333333,2,10640
SEADAB|1972-05-07|6606,SEADAB,1972-05-07,6606,106.9901385,16.8127775,14923.88725639706,10316.387306765593,2,0.45359237,0.0,2,1.0,2,10418
SEADAB|1972-09-01|6795,SEADAB,1972-09-01,6795,106.98500000000001,16.805833,14376.668650039717,9544.194138682513,19,4.309127515,0.0,19,1.0,2,11163
